Date,ACN,ASGN,BR,BTCM,CACI,CDW,CNDT,CSPI,CTLP,CTSH,DMRC,DTST,DXC,EPAM,EXLS,FI,FIS,FORTY,G,GDS,GIB,GLOB,HCKT,IBM,III,INFY,INOD,IT,JKHY,LDOS,MGIC,PRFT,SAIC,TTEC,UIS,VNET,VYX,WAVD,WIT,WNS,WYY,XRX
2018-01-17,145.6247100830078,68.37999725341797,85.60749816894531,119.30000305175781,138.85000610351562,68.41169738769531,16.84000015258789,6.886743068695068,9.350000381469727,69.60592651367188,37.70000076293945,0.3100000023841858,82.93305206298828,112.25,12.696000099182129,69.125,87.55329895019531,39.28775405883789,31.188587188720703,21.510000228881836,54.0099983215332,46.77000045776367,14.17348861694336,119.77449798583984,3.8475165367126465,7.725074768066406,1.1799999475479126,132.1300048828125,116.15021514892578,60.64311218261719,7.379362106323242,19.75,70.63733673095703,34.89127731323242,9.0,8.420000076293945,22.141103744506836,4.900000095367432,5.729613780975342,42.970001220703125,6.300000190734863,23.722436904907227
2018-01-18,146.2882080078125,67.4000015258789,85.56253814697266,122.5999984741211,137.4499969482422,68.70030975341797,16.860000610351562,6.804989814758301,9.25,70.4411392211914,36.54999923706055,0.25,82.82588958740234,113.11000061035156,12.593999862670898,68.97000122070312,87.49948120117188,40.02125549316406,31.7689266204834,23.989999771118164,54.130001068115234,46.95000076293945,13.928967475891113,120.10830688476562,3.7648725509643555,7.639810085296631,1.2300000190734863,134.0,115.81515502929688,60.10844421386719,7.337193965911865,19.6200008392334,69.46276092529297,34.76173400878906,8.949999809265137,8.470000267028809,22.006135940551758,4.400000095367432,5.6224260330200195,45.279998779296875,6.099999904632568,23.313684463500977
2018-01-19,147.02444458007812,68.4000015258789,86.28207397460938,122.69999694824219,139.5,70.02235412597656,16.600000381469727,7.0424628257751465,9.300000190734863,70.9367446899414,37.0,0.2800000011920929,83.23804473876953,113.30000305175781,12.70199966430664,69.05500030517578,88.333740234375,40.34215545654297,32.19950485229492,26.3700008392334,54.060001373291016,48.27000045776367,14.278282165527344,115.314453125,3.8475165367126465,7.66965389251709,1.25,137.35000610351562,116.48529815673828,60.84246826171875,7.2950263023376465,19.81999969482422,70.04103088378906,35.841285705566406,9.0,8.569999694824219,22.509201049804688,4.599999904632568,5.466519355773926,44.08000183105469,6.0,23.633255004882812
2018-01-22,146.7335968017578,68.19000244140625,87.1185531616211,120.0,138.6999969482422,69.836181640625,16.75,7.194290637969971,9.199999809265137,71.5516586303711,36.150001525878906,0.25,83.83977508544922,112.8499984741211,12.692000389099121,70.09500122070312,88.97962951660156,41.21317672729492,32.28376007080078,26.969999313354492,54.06999969482422,47.619998931884766,13.955163955688477,115.47783660888672,3.8566982746124268,7.797553062438965,1.2699999809265137,138.4499969482422,116.64350891113281,60.833404541015625,7.337193965911865,19.790000915527344,69.98680877685547,35.66856002807617,8.899999618530273,8.619999885559082,22.435583114624023,4.5,5.320355415344238,44.619998931884766,6.0,24.257530212402344
2018-01-23,146.23370361328125,68.7699966430664,86.9296646118164,121.5999984741211,139.5,70.38546752929688,16.84000015258789,7.233220100402832,9.199999809265137,71.8270034790039,35.099998474121094,0.2800000011920929,84.03761291503906,114.76000213623047,12.631999969482422,70.19499969482422,88.92582702636719,41.21317672729492,32.1807861328125,26.75,55.189998626708984,48.09000015258789,13.955163955688477,118.07003021240234,3.829150915145874,7.8657660484313965,1.2300000190734863,139.2100067138672,117.27643585205078,60.661231994628906,7.379362106323242,19.850000381469727,70.52892303466797,36.100379943847656,8.949999809265137,8.600000381469727,23.092025756835938,4.699999809265137,5.281379222869873,44.849998474121094,6.099999904632568,24.212940216064453
2018-01-24,145.97918701171875,68.23999786376953,86.50692749023438,122.4000015258789,137.75,69.86410522460938,16.790000915527344,7.2098612785339355,8.899999618530273,72.00138092041016,34.04999923706055,0.25999999046325684,83.4111328125,115.52999877929688,12.435999870300293,70.06999969482422,90.20858001708984,40.80058670043945,31.98421859741211,28.520000457763672,55.849998474121094,47.88999938964844,13.7979736328125,117.44506072998047,3.86588191986084,7.870028495788574,1.2400000095367432,140.19000244140625,116.48529815673828,59.664398193359375,7.278160572052002,19.729999542236328,69.74286651611328,35.1071891784668,8.800000190734863,8.65999984741211,23.13496971130371,4.699999809265137,5.369077205657959,44.560001373291016,6.0,24.0494384765625
2018-01-25,146.15187072753906,68.88999938964844,86.68682861328125,123.9000015258789,138.9499969482422,70.17134094238281,16.739999771118164,7.2137556076049805,8.569999694824219,71.54249572753906,33.849998474121094,0.25,83.96341705322266,116.19000244140625,12.501999855041504,70.4000015258789,91.05182647705078,39.700340270996094,32.152706146240234,28.549999237060547,55.040000915527344,45.880001068115234,13.946433067321777,117.5160903930664,3.902611494064331,7.8657660484313965,1.2300000190734863,140.1199951171875,116.85758972167969,59.73691177368164,7.71670389175415,19.959999084472656,70.39338684082031,35.2799186706543,8.899999618530273,8.789999961853027,22.877300262451172,4.699999809265137,5.417798042297363,44.650001525878906,6.0,24.064298629760742
2018-01-26,147.7516632080078,70.80000305175781,87.6312255859375,121.69999694824219,141.60000610351562,70.4599380493164,16.75,7.1514668464660645,8.399999618530273,71.98302459716797,32.849998474121094,0.20000000298023224,84.4909896850586,119.0199966430664,12.38599967956543,71.29000091552734,92.28980255126953,39.700340270996094,32.536468505859375,27.459999084472656,56.369998931884766,46.75,14.059962272644043,118.84419250488281,3.985255241394043,7.88707971572876,1.2200000286102295,142.13999938964844,117.76976013183594,60.07220458984375,7.590200901031494,20.1200008392334,70.92646026611328,35.45264434814453,8.949999809265137,9.470000267028809,23.245399475097656,4.599999904632568,5.495751857757568,44.5099983215332,6.0,24.398738861083984
2018-01-29,146.5154571533203,70.48999786376953,87.08258056640625,121.0,144.0,70.5716781616211,16.670000076293945,7.198184490203857,8.569999694824219,71.72604370117188,31.899999618530273,0.1599999964237213,82.52913665771484,117.75,12.37399959564209,71.51499938964844,92.1193618774414,39.700340270996094,32.13398742675781,27.399999618530273,56.380001068115234,46.16999816894531,14.025026321411133,118.46062469482422,3.9301598072052,7.908397674560547,1.1799999475479126,139.6699981689453,117.65805053710938,61.34994125366211,7.61550235748291,19.950000762939453,70.59215545654297,34.93446731567383,9.050000190734863,9.239999771118164,23.35582733154297,4.599999904632568,5.417798042297363,44.279998779296875,6.0,24.406166076660156
2018-01-30,145.16110229492188,68.87999725341797,86.72279357910156,122.69999694824219,140.64999389648438,69.81756591796875,16.579999923706055,7.147575378417969,8.550000190734863,71.36809539794922,31.299999237060547,0.18000000715255737,81.60592651367188,117.4000015258789,12.354000091552734,71.2699966430664,92.09244537353516,40.34215545654297,31.853174209594727,26.760000228881836,56.06999969482422,45.380001068115234,14.103621482849121,116.20223236083984,3.939342737197876,7.780499458312988,1.159999966621399,139.0399932861328,116.57837677001953,60.42561721801758,7.674536228179932,19.579999923706055,69.52600860595703,34.37309265136719,8.899999618530273,8.930000305175781,22.907974243164062,3.700000047683716,5.339844226837158,44.529998779296875,5.900000095367432,24.287260055541992
